Date,RMS.PA_Close
2014-06-30,269.5
2014-07-01,270.0
2014-07-02,270.0
2014-07-03,271.6000061035156
2014-07-04,270.1000061035156
2014-07-07,270.20001220703125
2014-07-08,266.5
2014-07-09,263.8500061035156
2014-07-10,261.79998779296875
2014-07-11,265.20001220703125
2014-07-14,269.25
2014-07-15,265.75
2014-07-16,268.45001220703125
2014-07-17,267.75
2014-07-18,264.8500061035156
2014-07-21,266.0
2014-07-22,266.04998779296875
2014-07-23,267.1499938964844
2014-07-24,265.0
2014-07-25,258.95001220703125
2014-07-28,259.75
2014-07-29,262.79998779296875
2014-07-30,260.95001220703125
2014-07-31,258.04998779296875
2014-08-01,257.3500061035156
2014-08-04,255.8999938964844
2014-08-05,258.75
2014-08-06,260.3999938964844
2014-08-07,257.5
2014-08-08,255.9499969482422
2014-08-11,259.20001220703125
2014-08-12,260.8999938964844
2014-08-13,258.0
2014-08-14,258.8500061035156
2014-08-15,259.1499938964844
2014-08-18,262.20001220703125
2014-08-19,264.04998779296875
2014-08-20,262.79998779296875
2014-08-21,262.29998779296875
2014-08-22,260.6000061035156
2014-08-25,261.54998779296875
2014-08-26,260.3500061035156
2014-08-27,261.45001220703125
2014-08-28,261.70001220703125
2014-08-29,261.8500061035156
2014-09-01,261.3999938964844
2014-09-02,262.75
2014-09-03,253.75
2014-09-04,249.1499938964844
2014-09-05,243.1999969482422
2014-09-08,243.6999969482422
2014-09-09,245.0
2014-09-10,244.0500030517578
2014-09-11,242.25
2014-09-12,242.3500061035156
2014-09-15,243.6000061035156
2014-09-16,244.5
2014-09-17,243.6999969482422
2014-09-18,244.5500030517578
2014-09-19,245.6000061035156
2014-09-22,246.4499969482422
2014-09-23,243.8999938964844
2014-09-24,245.5
2014-09-25,240.1000061035156
2014-09-26,237.3999938964844
2014-09-29,236.1499938964844
2014-09-30,236.75
2014-10-01,235.1499938964844
2014-10-02,236.6499938964844
2014-10-03,237.6499938964844
2014-10-06,239.8000030517578
2014-10-07,237.6999969482422
2014-10-08,235.9499969482422
2014-10-09,235.9499969482422
2014-10-10,233.25
2014-10-13,231.6499938964844
2014-10-14,230.8999938964844
2014-10-15,232.3500061035156
2014-10-16,232.3999938964844
2014-10-17,235.25
2014-10-20,230.9499969482422
2014-10-21,235.1499938964844
2014-10-22,236.8500061035156
2014-10-23,235.25
2014-10-24,232.5500030517578
2014-10-27,238.3000030517578
2014-10-28,238.1999969482422
2014-10-29,241.1499938964844
2014-10-30,243.9499969482422
2014-10-31,247.1000061035156
2014-11-03,246.5500030517578
2014-11-04,241.3500061035156
2014-11-05,247.8500061035156
2014-11-06,248.8999938964844
2014-11-07,252.3999938964844
2014-11-10,257.0
2014-11-11,257.0
2014-11-12,256.5
2014-11-13,259.1499938964844
2014-11-14,258.04998779296875
2014-11-17,259.1499938964844
2014-11-18,259.3500061035156
2014-11-19,259.5
2014-11-20,259.0
2014-11-21,261.45001220703125
2014-11-24,265.0
2014-11-25,262.29998779296875
2014-11-26,262.75
2014-11-27,265.6499938964844
2014-11-28,269.25
