Date,Predicted
2024-03-28,149.37967294659165
2024-04-01,150.1586152881041
2024-04-02,154.0917526325975
2024-04-03,152.37942043021303
2024-04-04,153.23238315337494
2024-04-05,149.52428684036977
2024-04-08,151.65696183806313
2024-04-09,154.23562155474065
2024-04-10,155.8585720603628
2024-04-11,154.09821898638893
2024-04-12,158.12224287034724
2024-04-15,156.45445997173329
2024-04-16,153.74163086359977
2024-04-17,153.6049285685849
2024-04-18,155.41991786226663
2024-04-19,155.06779956928722
2024-04-22,152.45937078607676
2024-04-23,155.9659671712584
2024-04-24,157.2357713230449
2024-04-25,157.49211606263407
2024-04-26,152.06946753177226
2024-04-29,173.6416707629919
2024-04-30,161.1240464756811
2024-05-01,162.4902052587331
2024-05-02,163.94884482054886
2024-05-03,165.3160316644571
2024-05-06,164.46552734769057
2024-05-07,166.43125420198976
2024-05-08,169.36696392387012
2024-05-09,166.7310605867624
2024-05-10,167.79645942134903
2024-05-13,165.72712191205983
2024-05-14,166.08035766249168
2024-05-15,168.85282919971996
2024-05-16,170.0077736248286
2024-05-17,171.8730187050046
2024-05-20,173.05966912289705
2024-05-21,174.79947587917877
2024-05-22,174.50498859187974
2024-05-23,173.37643106208134
2024-05-24,171.77712595615276
2024-05-28,173.2198678232785
2024-05-29,174.44060814318664
2024-05-30,173.37051598729977
2024-05-31,169.78452052526427
2024-06-03,170.04116325350742
2024-06-04,171.89752827179473
2024-06-05,171.36077620880724
2024-06-06,173.85133557993458
2024-06-07,174.39237867953943
2024-06-10,172.32333915890422
2024-06-11,172.85451883406222
2024-06-12,174.0568136562888
2024-06-13,176.0225107117226
2024-06-14,172.38883706504976
2024-06-17,174.80908601326973
2024-06-18,174.85949079409102
2024-06-20,172.50199825639993
2024-06-21,174.65198639488972
2024-06-24,177.005754074406
2024-06-25,176.96077268708723
2024-06-26,180.9191943688711
2024-06-27,180.50178676180394
