Date,Predicted
2024-03-26,819.9652862399817
2024-03-27,822.5388080775738
2024-03-28,824.0886082649231
2024-04-02,832.3968082815409
2024-04-03,819.7866023033857
2024-04-04,814.0702935010195
2024-04-05,816.155356913805
2024-04-08,794.9137241095304
2024-04-09,804.1529639214277
2024-04-10,793.2069956362247
2024-04-11,793.0586026161909
2024-04-12,789.3622758239508
2024-04-15,784.5176774412394
2024-04-16,795.9796118289232
2024-04-17,780.2416019886732
2024-04-18,811.6515197455883
2024-04-19,793.9009498655796
2024-04-22,793.1741070300341
2024-04-23,798.7005989402533
2024-04-24,802.2078510373831
2024-04-25,803.814939558506
2024-04-26,784.0653083473444
2024-04-29,797.9841004759073
2024-04-30,783.8831917494535
2024-05-02,778.3065087646246
2024-05-03,773.4028129428625
2024-05-06,787.9933861643076
2024-05-07,784.3779588490725
2024-05-08,791.6978771239519
2024-05-09,791.839822307229
2024-05-10,788.7573852390051
2024-05-13,794.235170468688
2024-05-14,786.9616858959198
2024-05-15,793.8821166157722
2024-05-16,788.9421459138393
2024-05-17,788.1351457983255
2024-05-20,786.1461505144835
2024-05-21,782.2709078490734
2024-05-22,772.3773749619722
2024-05-23,756.5219588279724
2024-05-24,756.8988557606936
2024-05-27,754.5292989462614
2024-05-28,758.7693314552307
2024-05-29,751.0514564067125
2024-05-30,730.109253719449
2024-05-31,737.5882804840803
2024-06-03,739.6785856634378
2024-06-04,743.2806070446968
2024-06-05,740.9544223695993
2024-06-06,756.7570497393608
2024-06-07,768.2600369006395
2024-06-10,764.9881540387869
2024-06-11,746.8806337714195
2024-06-12,743.8479702919722
2024-06-13,741.1904874145985
2024-06-14,737.2333247512579
2024-06-17,716.914706736803
2024-06-18,719.5362394452095
2024-06-19,719.3383047729731
2024-06-20,710.5418318808079
2024-06-21,718.735779941082
2024-06-24,720.8402332514524
2024-06-25,729.339456230402
2024-06-26,738.0993759185076
2024-06-27,732.4118736386299
