Date,Predicted
2024-03-28,506.6734052578731
2024-04-01,505.7852891009661
2024-04-02,502.5696051546206
2024-04-03,458.75041916302234
2024-04-04,470.96103771917114
2024-04-05,468.82799885352915
2024-04-08,467.78563243596227
2024-04-09,468.8621506214281
2024-04-10,471.1826554621898
2024-04-11,463.19783597418837
2024-04-12,453.18901366357113
2024-04-15,449.05304736032076
2024-04-16,458.2416315709929
2024-04-17,486.2331183262613
2024-04-18,491.28661555661074
2024-04-19,505.85316715792806
2024-04-22,513.2314807479102
2024-04-23,502.80756128493977
2024-04-24,500.06180453027355
2024-04-25,499.55900200720316
2024-04-26,508.29192674982824
2024-04-29,508.2348274900437
2024-04-30,502.7079425068159
2024-05-01,496.33083734833644
2024-05-02,496.1594261079599
2024-05-03,505.004138323417
2024-05-06,502.7817205369697
2024-05-07,506.9699356412748
2024-05-08,512.9374748722685
2024-05-09,515.5627643858493
2024-05-10,518.3362623606195
2024-05-13,524.5365952453894
2024-05-14,522.9544380112802
2024-05-15,524.7128853097515
2024-05-16,531.3883929585108
2024-05-17,535.142052345032
2024-05-20,535.3076487079838
2024-05-21,529.7122332669123
2024-05-22,535.0309172730817
2024-05-23,534.9832636434553
2024-05-24,528.2419202361466
2024-05-28,521.0061136909521
2024-05-29,515.3018323983888
2024-05-30,490.4588606638972
2024-05-31,493.25122153372786
2024-06-03,507.64474507509203
2024-06-04,509.5705473823705
2024-06-05,517.0123991451878
2024-06-06,515.1108491315586
2024-06-07,512.6483478206123
2024-06-10,503.62507632033476
2024-06-11,504.43524475449567
2024-06-12,507.5205903507617
2024-06-13,504.09670542735785
2024-06-14,506.95271793104666
2024-06-17,507.7856069350473
2024-06-18,502.6560624540857
2024-06-20,495.13606441173215
2024-06-21,496.38620632752145
2024-06-24,495.88998454378043
2024-06-25,502.07837565588807
2024-06-26,497.0363663541093
2024-06-27,497.86715632918595
