Date,Predicted
2024-04-03,3449.566571414471
2024-04-04,3425.5665647983556
2024-04-05,3469.461959600449
2024-04-08,3390.7976463437085
2024-04-09,3466.7835298180585
2024-04-10,3504.395551383496
2024-04-11,3480.6088510155682
2024-04-12,3512.567012906075
2024-04-15,3511.6678693890576
2024-04-16,3490.464594960213
2024-04-17,3436.3402268290524
2024-04-18,3405.5261826515202
2024-04-19,3399.2382854223256
2024-04-22,3320.932950973511
2024-04-23,3354.3657082319264
2024-04-24,3334.8768007755284
2024-04-25,3389.521654248238
2024-04-26,3318.7539699673657
2024-04-30,3324.7697490453725
2024-05-01,3407.8788849711423
2024-05-02,3381.660086214543
2024-05-07,3372.289540469647
2024-05-08,3393.452551364899
2024-05-09,3354.728758633137
2024-05-10,3324.262157082558
2024-05-13,3263.0491450428967
2024-05-14,3227.7728608250623
2024-05-15,3249.0084818005566
2024-05-16,3263.9476099610333
2024-05-17,3200.813710689545
2024-05-20,3266.9221350550656
2024-05-21,3273.569915890694
2024-05-22,3269.232990443707
2024-05-23,3235.3982764482503
2024-05-24,3242.422001063824
2024-05-27,3220.306463539601
2024-05-28,3270.563044250012
2024-05-29,3258.1713762879376
2024-05-30,3233.264987766743
2024-05-31,3175.1504582166676
2024-06-03,3234.0992119908337
2024-06-04,3190.426171422005
2024-06-05,3151.632256805897
2024-06-06,3091.436012089253
2024-06-07,3154.3400925397877
2024-06-10,3090.4289713501935
2024-06-11,3139.7418472170834
2024-06-12,3129.6323072910313
2024-06-13,3076.498241126538
2024-06-14,3045.510023236275
2024-06-17,3000.3734710812573
2024-06-18,2940.0939849019055
2024-06-19,2978.611483573914
2024-06-20,3003.937020003796
2024-06-21,2973.4805974364285
2024-06-24,2993.812550902367
2024-06-25,3041.4965632557874
2024-06-26,3128.803511857987
2024-06-27,3117.5835579633717
