Date,Predicted
2024-03-28,193.51482243380812
2024-04-01,191.94517462506607
2024-04-02,192.65828566236675
2024-04-03,189.1295692774406
2024-04-04,189.41664744603938
2024-04-05,188.72212583476536
2024-04-08,188.5490023590455
2024-04-09,188.90009817838515
2024-04-10,185.82454313347623
2024-04-11,182.66041123677493
2024-04-12,182.29431541310075
2024-04-15,179.42528435734172
2024-04-16,179.6382063332271
2024-04-17,179.10985605460607
2024-04-18,178.56238738255112
2024-04-19,177.4665684260958
2024-04-22,175.0168322018271
2024-04-23,175.91197099953658
2024-04-24,183.07615442995936
2024-04-25,184.26788021513627
2024-04-26,180.89741324621625
2024-04-29,183.31388749613777
2024-04-30,181.7914311368008
2024-05-01,180.2891511057123
2024-05-02,179.33111556438686
2024-05-03,179.1538107272572
2024-05-06,181.39230003909685
2024-05-07,182.52295527765907
2024-05-08,184.7151725358253
2024-05-09,186.55602949094825
2024-05-10,187.91470746542697
2024-05-13,187.1547954070456
2024-05-14,187.55065194460937
2024-05-15,186.8642915447617
2024-05-16,188.36518618502166
2024-05-17,188.86623166985825
2024-05-20,189.3977305639987
2024-05-21,191.51581681837567
2024-05-22,191.68182442302165
2024-05-23,191.1548973186154
2024-05-24,192.08273133987856
2024-05-28,191.59586721934144
2024-05-29,190.12271817903863
2024-05-30,188.13715085464307
2024-05-31,180.8568590783261
2024-06-03,180.07090167236808
2024-06-04,181.48983155342646
2024-06-05,181.9535344582027
2024-06-06,184.65125564078105
2024-06-07,189.3228187035606
2024-06-10,188.33679826749855
2024-06-11,187.41261664023793
2024-06-12,186.00920313645926
2024-06-13,191.99925524522766
2024-06-14,189.4368993410603
2024-06-17,185.72693605237416
2024-06-18,186.8612436849389
2024-06-20,186.36707477639672
2024-06-21,188.3739645250898
2024-06-24,189.81289441192754
2024-06-25,189.15012343955138
2024-06-26,190.9917234679369
2024-06-27,193.76113232866143
