Date,Predicted
2024-04-03,12924.169627070427
2024-04-04,12932.404329895973
2024-04-05,12960.793339967728
2024-04-08,12705.290598750114
2024-04-09,12739.988919615746
2024-04-10,12739.92289674282
2024-04-11,12822.684218525887
2024-04-12,12718.113891243935
2024-04-15,12988.135062217712
2024-04-16,12771.930785536766
2024-04-17,12748.911910891533
2024-04-18,12616.413083076477
2024-04-19,12680.161468029022
2024-04-22,12519.915702581406
2024-04-23,12488.470658779144
2024-04-24,12432.57321870327
2024-04-25,12710.050022602081
2024-04-26,12700.107803225517
2024-04-30,12677.216022610664
2024-05-01,13005.814337015152
2024-05-02,12911.203560113907
2024-05-07,12960.282487988472
2024-05-08,12585.98644208908
2024-05-09,12117.866942048073
2024-05-10,11921.202134609222
2024-05-13,11550.92605638504
2024-05-14,11816.818321943283
2024-05-15,11877.980260848999
2024-05-16,13192.930586457253
2024-05-17,12904.540201663971
2024-05-20,12929.330139875412
2024-05-21,13021.102758526802
2024-05-22,12873.600232839584
2024-05-23,12722.666993618011
2024-05-24,12825.499268770218
2024-05-27,12592.596156954765
2024-05-28,12437.724653363228
2024-05-29,12495.826432108879
2024-05-30,12433.164123415947
2024-05-31,12453.547860145569
2024-06-03,12832.151898503304
2024-06-04,12939.937539696693
2024-06-05,13189.761488556862
2024-06-06,13312.701029658318
2024-06-07,13518.436554551125
2024-06-10,13257.062729358673
2024-06-11,13331.665274620056
2024-06-12,13236.335673689842
2024-06-13,13046.280581116676
2024-06-14,13252.573999285698
2024-06-17,12914.943755865097
2024-06-18,12581.530723452568
2024-06-19,12600.159077048302
2024-06-20,12602.599447488785
2024-06-21,12686.036678433418
2024-06-24,12777.385925412178
2024-06-25,12762.944247245789
2024-06-26,13062.181364774704
2024-06-27,13203.257389068604
