Date,Predicted
2024-03-28,978.9915597202453
2024-04-01,975.201896090548
2024-04-02,1003.5996457024448
2024-04-03,964.7712962567857
2024-04-04,987.9146947151239
2024-04-05,963.2441848229937
2024-04-08,988.2354277965351
2024-04-09,986.8192276817826
2024-04-10,987.9963780949402
2024-04-11,973.1865232217169
2024-04-12,987.106280886208
2024-04-15,959.0927528594657
2024-04-16,964.6165430289111
2024-04-17,973.4214113293165
2024-04-18,893.599715747845
2024-04-19,905.8444802198246
2024-04-22,863.4135453117487
2024-04-23,882.3906074931801
2024-04-24,897.6415913299134
2024-04-25,888.1048631738558
2024-04-26,890.6335638229539
2024-04-29,918.9790515567693
2024-04-30,902.5932107156223
2024-05-01,877.2897998017997
2024-05-02,864.7659181883628
2024-05-03,888.261068120566
2024-05-06,914.6649303023987
2024-05-07,927.1704234772515
2024-05-08,922.9954736685868
2024-05-09,925.5268841928446
2024-05-10,928.3029577315283
2024-05-13,947.3348948849452
2024-05-14,929.3806170138196
2024-05-15,927.6193917224737
2024-05-16,943.4886142206597
2024-05-17,930.4694061405171
2024-05-20,933.0518203865322
2024-05-21,944.4876871233173
2024-05-22,924.7220512703898
2024-05-23,926.7077122937189
2024-05-24,941.445078006418
2024-05-28,952.3404214300826
2024-05-29,982.5513678676398
2024-05-30,949.3877220997347
2024-05-31,964.9144357339756
2024-06-03,953.2213244195227
2024-06-04,965.0618335864165
2024-06-05,950.6683316752424
2024-06-06,1033.848530392239
2024-06-07,1034.0076387766203
2024-06-10,1020.6564709894046
2024-06-11,1032.096499320185
2024-06-12,1028.7654820612806
2024-06-13,1065.449449224252
2024-06-14,1038.8378944676733
2024-06-17,1024.2671860773007
2024-06-18,1052.726488567827
2024-06-20,1053.0556416184845
2024-06-21,1046.9261943508282
2024-06-24,1029.502180979718
2024-06-25,1011.4717362603515
2024-06-26,1025.576249341986
2024-06-27,1014.5159906585977
