Date,6758.T_Close
2014-06-30,1682.0
2014-07-01,1705.0
2014-07-02,1721.0
2014-07-03,1696.0
2014-07-04,1720.0
2014-07-07,1730.0
2014-07-08,1718.0
2014-07-09,1697.0
2014-07-10,1688.0
2014-07-11,1674.0
2014-07-14,1681.0
2014-07-15,1675.0
2014-07-16,1680.0
2014-07-17,1688.0
2014-07-18,1680.0
2014-07-22,1681.5
2014-07-23,1699.5
2014-07-24,1742.5
2014-07-25,1791.5
2014-07-28,1798.5
2014-07-29,1784.0
2014-07-30,1791.0
2014-07-31,1772.0
2014-08-01,1855.0
2014-08-04,1866.0
2014-08-05,1849.0
2014-08-06,1812.0
2014-08-07,1786.5
2014-08-08,1745.5
2014-08-11,1763.5
2014-08-12,1774.5
2014-08-13,1815.5
2014-08-14,1835.0
2014-08-15,1874.0
2014-08-18,1877.0
2014-08-19,1913.5
2014-08-20,1937.0
2014-08-21,1952.0
2014-08-22,1954.5
2014-08-25,1972.0
2014-08-26,1956.0
2014-08-27,1956.5
2014-08-28,1966.0
2014-08-29,1990.0
2014-09-01,2015.5
2014-09-02,2019.0
2014-09-03,2073.0
2014-09-04,2056.0
2014-09-05,2016.0
2014-09-08,2017.5
2014-09-09,2042.0
2014-09-10,2048.5
2014-09-11,2104.5
2014-09-12,2127.0
2014-09-16,2163.0
2014-09-17,2123.5
2014-09-18,1940.0
2014-09-19,1921.0
2014-09-22,1896.5
2014-09-24,1874.0
2014-09-25,1901.0
2014-09-26,1899.0
2014-09-29,1959.0
2014-09-30,1991.0
2014-10-01,1968.5
2014-10-02,1904.5
2014-10-03,1895.0
2014-10-06,1937.0
2014-10-07,1913.0
2014-10-08,1915.0
2014-10-09,1882.5
2014-10-10,1882.0
2014-10-14,1822.0
2014-10-15,1849.5
2014-10-16,1789.5
2014-10-17,1805.0
2014-10-20,1875.0
2014-10-21,1847.0
2014-10-22,1909.0
2014-10-23,1901.5
2014-10-24,1886.5
2014-10-27,1883.5
2014-10-28,1898.5
2014-10-29,2001.5
2014-10-30,2055.0
2014-10-31,2072.0
2014-11-04,2301.0
2014-11-05,2309.5
2014-11-06,2231.0
2014-11-07,2258.0
2014-11-10,2344.0
2014-11-11,2354.0
2014-11-12,2365.5
2014-11-13,2350.0
2014-11-14,2401.5
2014-11-17,2329.0
2014-11-18,2478.5
2014-11-19,2441.5
2014-11-20,2410.5
2014-11-21,2433.5
2014-11-25,2582.5
2014-11-26,2548.5
2014-11-27,2500.0
2014-11-28,2600.0
2014-12-01,2640.0
2014-12-02,2623.5
2014-12-03,2596.0
2014-12-04,2643.0
2014-12-05,2677.0
2014-12-08,2590.0
2014-12-09,2486.0
2014-12-10,2504.0
2014-12-11,2464.0
2014-12-12,2440.5
2014-12-15,2353.0
2014-12-16,2331.0
2014-12-17,2365.0
2014-12-18,2478.5
2014-12-19,2446.5
2014-12-22,2470.0
2014-12-24,2568.5
2014-12-25,2557.0
2014-12-26,2550.5
2014-12-29,2561.0
2014-12-30,2472.5
2015-01-05,2468.5
2015-01-06,2439.5
2015-01-07,2552.5
2015-01-08,2565.0
2015-01-09,2599.0
2015-01-13,2520.0
2015-01-14,2433.5
2015-01-15,2500.0
2015-01-16,2384.0
2015-01-19,2443.5
2015-01-20,2462.5
2015-01-21,2597.5
2015-01-22,2610.5
2015-01-23,2737.0
2015-01-26,2754.5
2015-01-27,2749.0
2015-01-28,2824.0
2015-01-29,2775.0
2015-01-30,2774.0
2015-02-02,2698.5
2015-02-03,2697.5
2015-02-04,2769.0
2015-02-05,3101.5
2015-02-06,3138.5
2015-02-09,3064.0
2015-02-10,3073.5
2015-02-12,3231.5
2015-02-13,3220.5
2015-02-16,3144.0
2015-02-17,3125.0
2015-02-18,3174.5
2015-02-19,3227.0
2015-02-20,3201.0
2015-02-23,3205.5
2015-02-24,3276.0
2015-02-25,3280.0
2015-02-26,3346.5
2015-02-27,3414.5
2015-03-02,3345.5
2015-03-03,3345.0
2015-03-04,3325.0
2015-03-05,3344.0
2015-03-06,3337.0
2015-03-09,3283.5
2015-03-10,3245.0
2015-03-11,3256.5
2015-03-12,3262.5
2015-03-13,3223.0
2015-03-16,3102.0
2015-03-17,3235.0
2015-03-18,3410.0
2015-03-19,3381.0
2015-03-20,3359.5
2015-03-23,3345.0
2015-03-24,3306.5
2015-03-25,3273.0
2015-03-26,3165.0
2015-03-27,3196.5
2015-03-30,3210.5
2015-03-31,3190.0
2015-04-01,3235.0
2015-04-02,3336.0
2015-04-03,3450.0
2015-04-06,3482.5
2015-04-07,3490.0
2015-04-08,3525.0
2015-04-09,3619.5
2015-04-10,3677.5
2015-04-13,3670.0
2015-04-14,3750.0
2015-04-15,3779.5
2015-04-16,3692.0
2015-04-17,3555.5
2015-04-20,3616.0
2015-04-21,3680.5
2015-04-22,3675.5
2015-04-23,3616.0
2015-04-24,3739.0
2015-04-27,3729.0
2015-04-28,3691.0
2015-04-30,3644.5
2015-05-01,3628.5
2015-05-07,3609.5
2015-05-08,3623.0
2015-05-11,3727.0
2015-05-12,3833.0
2015-05-13,3881.0
